estrato,k,n_medio,n_mediano,rv_medido,rv_previsto,n_barras,erro_rel,forma_medida,forma_prevista,erro_forma
ano_2022,1,231.84310501700003,198.0,0.34554976364390966,0.3455497636439097,62647,-1.1102230246251565e-16,1.0,1.0,0.0
ano_2022,2,231.84310501700003,198.0,0.3346832070969083,0.33481972165264756,62647,-0.00040772555172507996,0.9685528462459045,0.9689479110675373,-0.00040772555172496894
ano_2022,4,231.84310501700003,198.0,0.32917449427346895,0.3301969243932725,62647,-0.0030964253276501985,0.9526109663691871,0.9555698169527373,-0.0030964253276499765
ano_2022,8,231.84310501700003,198.0,0.3224888469559596,0.32486496692085537,62647,-0.007314177294699409,0.9332631096465908,0.9401394563117974,-0.007314177294699298
ano_2022,16,231.84310501700003,198.0,0.3119694861465831,0.3135152067954354,62647,-0.0049302892342980575,0.9028207192410898,0.907293940789709,-0.0049302892342979465
ano_2022,32,231.84310501700003,198.0,0.2933460672977157,0.2903956611290271,62647,0.010159952656378257,0.8489256777498766,0.8403873817383967,0.01015995265637848
ano_2022,64,231.84310501700003,198.0,0.2531804658782544,0.2439465570884264,62647,0.037852179182347845,0.7326888700730173,0.7059664996322041,0.037852179182347845
ano_2023,1,222.94091634123535,187.0,0.3736821965788454,0.37368219657884544,90905,-1.1102230246251565e-16,1.0,1.0,0.0
ano_2023,2,222.94091634123535,187.0,0.39731911913536067,0.3976375193945477,90905,-0.0008007299202344997,1.0632540773227017,1.0641061389464612,-0.0008007299202343887
ano_2023,4,222.94091634123535,187.0,0.42087442481986664,0.42218258130101083,90905,-0.0030985562623472296,1.1262897421206521,1.1297904614300565,-0.0030985562623472296
ano_2023,8,222.94091634123535,187.0,0.4315180445080026,0.435145017039072,90905,-0.008335089197962109,1.1547728215544089,1.164478856694095,-0.008335089197961998
ano_2023,16,222.94091634123535,187.0,0.4268866509254163,0.4309184954511721,90905,-0.009356397017803775,1.142378884607485,1.153168385853914,-0.009356397017803664
ano_2023,32,222.94091634123535,187.0,0.4019399919627631,0.4031232453274445,90905,-0.002935214920985918,1.0756198599842994,1.0787863297158367,-0.002935214920985585
ano_2023,64,222.94091634123535,187.0,0.348174837093841,0.3378616416060253,90905,0.030524907884754038,0.9317405011035295,0.9041416602108252,0.03052490788475426
ano_2024,1,242.26362146092077,208.0,0.5314393862354424,0.5314393862354425,179955,-2.220446049250313e-16,1.0,1.0,0.0
ano_2024,2,242.26362146092077,208.0,0.5313237918451788,0.5311917893251845,179955,0.00024850256093356116,0.9997824881006986,0.9995341013167807,0.0002485025609337832
ano_2024,4,242.26362146092077,208.0,0.537585848858045,0.5377189232168751,179955,-0.0002474794043587636,1.0115656889229498,1.0118160925668587,-0.00024747940435854154
ano_2024,8,242.26362146092077,208.0,0.5340895408220095,0.5358784827703719,179955,-0.003338335099991152,1.0049867485459443,1.0083529686543833,-0.00333833509999093
ano_2024,16,242.26362146092077,208.0,0.5206130070545408,0.5227604049552843,179955,-0.0041078051826193285,0.97962819568645,0.983668915957401,-0.004107805182618995
ano_2024,32,242.26362146092077,208.0,0.48794085945357846,0.4882016899679398,179955,-0.0005342679464679367,0.9181495991669069,0.9186403992865759,-0.0005342679464676037
ano_2024,64,242.26362146092077,208.0,0.42607617104831763,0.4149229803146658,179955,0.026880147070170946,0.8017399200810346,0.7807531603064951,0.026880147070171168
ano_2025,1,264.39637996108695,229.0,2.1730249708888714,2.1730249708888714,230771,0.0,1.0,1.0,0.0
ano_2025,2,264.39637996108695,229.0,1.9905894725138644,1.990093988606975,230771,0.0002489751286753883,0.9160453741585942,0.91581735841394,0.0002489751286753883
ano_2025,4,264.39637996108695,229.0,1.8941004714132104,1.892686901785245,230771,0.0007468586730494664,0.8716422943996048,0.8709917866296057,0.0007468586730494664
ano_2025,8,264.39637996108695,229.0,1.8155274566507427,1.8122581984561514,230771,0.0018039693225702091,0.8354839364354405,0.8339794630684115,0.0018039693225702091
ano_2025,16,264.39637996108695,229.0,1.7479596855218442,1.7333140096427475,230771,0.00844952258945586,0.8043900594510173,0.7976502952627088,0.00844952258945586
ano_2025,32,264.39637996108695,229.0,1.6441544149328473,1.6111877958630652,230771,0.02046106552844318,0.7566201203202508,0.7414492780559314,0.0204610655284434
ano_2025,64,264.39637996108695,229.0,1.4515411337192075,1.3848164502272633,230771,0.04818305233231013,0.6679818010215767,0.6372759028446907,0.04818305233231013
ano_2026,1,318.5844538960039,279.0,7.718446539558335,7.718446539558335,168814,0.0,1.0,1.0,0.0
ano_2026,2,318.5844538960039,279.0,7.62717120918289,7.626850047768159,168814,4.210931285131281e-05,0.9881743910633256,0.9881327814708921,4.210931285131281e-05
ano_2026,4,318.5844538960039,279.0,7.569256501615684,7.567151815996928,168814,0.00027813445136737336,0.9806709760600106,0.9803982935185214,0.00027813445136737336
ano_2026,8,318.5844538960039,279.0,7.429094647527752,7.417003860907239,168814,0.0016301443072235244,0.9625116413584514,0.9609451620729441,0.0016301443072235244
ano_2026,16,318.5844538960039,279.0,7.264535183269012,7.197537305053656,168814,0.009308444732660792,0.9411913583953777,0.9325111300784514,0.009308444732660792
ano_2026,32,318.5844538960039,279.0,7.0039414680526715,6.803488675625559,168814,0.029463235993213654,0.907428901937235,0.8814582883688494,0.029463235993213654
