year,n_barras,sigma_usd,sigma_robusto_usd,preco_mediano,sigma_bps
2022,143510,0.4356206831742453,0.28317660000004585,1736.198,2.5090495621711653
2023,343365,0.42265139511861316,0.26686800000009436,1945.205,2.1727858766485446
2024,343466,0.5862373637824878,0.3750978000002319,2379.8315000000002,2.463356602274101
2025,347166,1.139117079503888,0.7012697999999352,3345.175,3.405254073415854
2026,202635,2.5944507684345073,1.4529480000007011,4597.005,5.6437849609354505
